,date,time,temperature_celsius,weather,wind_speed_km,wind_direction,humidity,barometer_mbar,visibility,degree,Cleaned Wind Direction,alerta_crecida,TIME,HEIGH_m
16,2022-01-01,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,
17,2022-01-01,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,,
18,2022-01-01,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,,
19,2022-01-01,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,
22,2022-01-01,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,
21,2022-01-01,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,
23,2022-01-01,06:00:00,26,Thunderstorms,22,Wind blowing from 300° West-northwest to East-southeast,0.79,1004,6.0,300.0,Northwest,NO,05:55:00,1.37
24,2022-01-01,06:00:00,26,Cloudy,26,Wind blowing from 330° North-northwest to South-southeast,0.58,1003,,330.0,Northwest,NO,05:55:00,1.37
27,2022-01-01,06:00:00,27,Thunderstorms,19,Wind blowing from 10° North to South,0.7,1002,9.0,10.0,North,NO,05:55:00,1.37
25,2022-01-01,07:00:00,25,Cloudy,20,Wind blowing from 300° West-northwest to East-southeast,0.65,1005,8.0,300.0,Northwest,NO,,1.37
26,2022-01-01,08:00:00,24,Light Rain,17,Wind blowing from 300° West-northwest to East-southeast,0.61,1004,9.0,300.0,Northwest,NO,,1.37
15,2022-01-01,09:00:00,25,Light Rain,13,Wind blowing from 280° West to East,0.54,1005,9.0,280.0,West,NO,,1.37
20,2022-01-01,10:00:00,23,Light Rain,9,Wind blowing from 290° West-northwest to East-southeast,0.78,1006,9.0,290.0,West,NO,,1.37
13,2022-01-01,11:00:00,24,Light Rain,6,Wind blowing from 240° West-southwest to East-northeast,0.65,1004,9.0,240.0,Southwest,NO,,1.37
12,2022-01-01,12:00:00,24,Light Rain,19,Wind blowing from 340° North-northwest to South-southeast,0.69,1005,9.0,340.0,North,NO,,1.37
14,2022-01-01,12:00:00,23,Light Rain,19,Wind blowing from 310° Northwest to Southeast,0.74,1005,9.0,310.0,Northwest,NO,,1.37
10,2022-01-01,13:00:00,21,Thunderstorms,32,Wind blowing from 300° West-northwest to East-southeast,0.83,1007,8.0,300.0,Northwest,NO,,1.37
11,2022-01-01,13:00:00,22,Light Rain,30,Wind blowing from 300° West-northwest to East-southeast,0.78,1007,9.0,300.0,Northwest,NO,,1.37
9,2022-01-01,14:00:00,21,Light Rain,24,Wind blowing from 340° North-northwest to South-southeast,0.88,1004,9.0,340.0,North,NO,13:34:00,0.52
8,2022-01-01,15:00:00,22,Cloudy,17,Wind blowing from 10° North to South,0.83,1004,,10.0,North,NO,,0.52
0,2022-01-01,16:00:00,23,Cloudy,15,Wind blowing from 20° North-northeast to South-southwest,0.83,1004,,20.0,North,NO,,0.52
7,2022-01-01,17:00:00,23,Cloudy,13,Wind blowing from 340° North-northwest to South-southeast,0.78,1003,,340.0,North,NO,,0.52
6,2022-01-01,18:00:00,24,Cloudy,11,Wind blowing from 330° North-northwest to South-southeast,0.74,1002,,330.0,Northwest,NO,18:30:00,1.07
5,2022-01-01,19:00:00,24,Cloudy,11,Wind blowing from 60° East-northeast to West-southwest,0.74,1002,,60.0,Northeast,NO,,1.07
4,2022-01-01,20:00:00,24,Cloudy,11,Wind blowing from 10° North to South,0.74,1004,,10.0,North,NO,,1.07
3,2022-01-01,21:00:00,23,Cloudy,7,Wind blowing from 0° North to South,0.78,1004,,0.0,North,NO,,1.07
2,2022-01-01,22:00:00,23,Clear,7,Wind blowing from 330° North-northwest to South-southeast,0.78,1004,16.0,330.0,Northwest,NO,,1.07
1,2022-01-01,23:00:00,22,Clear,4,Wind blowing from 0° North to South,0.83,1005,16.0,0.0,North,NO,,1.07
45,2022-01-02,00:00:00,28,Clear,24,Wind blowing from 100° East to West,0.55,1004,16.0,100.0,East,NO,,1.07
43,2022-01-02,01:00:00,28,Clear,17,Wind blowing from 90° East to West,0.58,1003,16.0,90.0,East,NO,00:46:00,0.57
46,2022-01-02,02:00:00,27,Clear,13,Wind blowing from 70° East-northeast to West-southwest,0.66,1003,16.0,70.0,East,NO,,0.57
47,2022-01-02,03:00:00,27,Cloudy,13,Wind blowing from 40° Northeast to Southwest,0.7,1002,,40.0,Northeast,NO,,0.57
50,2022-01-02,04:00:00,27,Cloudy,17,Wind blowing from 20° North-northeast to South-southwest,0.7,1001,,20.0,North,NO,,0.57
49,2022-01-02,05:00:00,27,Cloudy,15,Wind blowing from 30° North-northeast to South-southwest,0.7,1002,,30.0,Northeast,NO,,0.57
