date,time,alerta_crecida
13/3/2024,15:05,YES
12/3/2024,19:30,YES
5/3/2024,8:00,YES
4/3/2024,3:30,YES
3/3/2024,7:30,YES
2/3/2024,18:40,YES
29/2/2024,14:40,YES
24/2/2024,19:20,YES
23/2/2024,22:10,YES
13/2/2024,6:30,YES
12/2/2024,8:20,YES
9/2/2024,8:00,YES
8/2/2024,8:10,YES
3/2/2024,15:15,YES
19/1/2024,8:10,YES
16/1/2024,18:45,YES
15/1/2024,2:30,YES
14/1/2024,16:25,YES
11/1/2024,2:30,YES
10/1/2024,8:10,YES
31/12/2023,0:10,YES
30/12/2023,0:10,YES
29/12/2023,0:00,YES
28/12/2023,23:00,YES
26/12/2023,2:30,YES
25/12/2023,8:00,YES
20/12/2023,0:10,YES
19/12/2023,0:30,YES
18/12/2023,2:30,YES
17/12/2023,16:05,YES
5/12/2023,2:30,YES
4/12/2023,17:10,YES
3/12/2023,0:05,YES
29/11/2023,16:45,YES
24/11/2023,4:00,YES
22/11/2023,2:30,YES
21/11/2023,16:10,YES
13/11/2023,1:00,YES
12/11/2023,15:15,YES
10/11/2023,2:30,YES
9/11/2023,8:00,YES
8/11/2023,16:00,YES
3/11/2023,14:30,YES
2/11/2023,0:10,YES
1/11/2023,0:15,YES
31/10/2023,0:40,YES
30/10/2023,0:00,YES
29/10/2023,15:55,YES
25/10/2023,2:00,YES
24/10/2023,16:00,YES
23/10/2023,15:10,YES
17/10/2023,11:30,YES
12/10/2023,0:20,YES
11/10/2023,2:30,YES
26/9/2023,2:30,YES
25/9/2023,2:30,YES
24/9/2023,16:20,YES
22/9/2023,8:10,YES
18/9/2023,0:10,YES
17/9/2023,2:30,YES
16/9/2023,23:20,YES
5/9/2023,2:30,YES
3/9/2023,2:30,YES
2/9/2023,15:50,YES
17/8/2023,2:30,YES
16/8/2023,16:00,YES
13/8/2023,3:15,YES
12/8/2023,16:40,YES
11/8/2023,16:40,YES
7/8/2023,2:30,YES
6/8/2023,20:00,YES
3/8/2023,0:00,YES
2/8/2023,18:25,YES
24/7/2023,2:30,YES
23/7/2023,15:15,YES
17/7/2023,0:00,YES
13/7/2023,2:30,YES
12/7/2023,0:00,YES
8/7/2023,2:30,YES
7/7/2023,0:05,YES
20/6/2023,0:00,YES
13/6/2023,1:00,YES
12/6/2023,0:00,YES
11/6/2023,2:30,YES
10/6/2023,2:30,YES
9/6/2023,15:25,YES
27/5/2023,8:00,YES
20/5/2023,14:05,YES
11/5/2023,0:00,YES
1/5/2023,8:10,YES
30/4/2023,16:15,YES
22/4/2023,15:20,YES
19/4/2023,8:10,YES
14/4/2023,2:00,YES
13/4/2023,1:00,YES
12/4/2023,0:10,YES
10/4/2023,11:30,YES
1/4/2023,2:30,YES
31/3/2023,16:00,YES
30/3/2023,2:30,YES
29/3/2023,15:45,YES
26/3/2023,2:30,YES
25/3/2023,23:10,YES
24/3/2023,8:00,YES
21/3/2023,14:20,YES
20/3/2023,13:15,YES
18/3/2023,0:50,YES
4/3/2023,8:05,YES
26/2/2023,8:15,YES
18/2/2023,0:00,YES
17/2/2023,0:00,YES
16/2/2023,2:10,YES
15/2/2023,2:30,YES
14/2/2023,23:00,YES
1/2/2023,0:30,YES
30/1/2023,2:30,YES
29/1/2023,15:55,YES
26/1/2023,0:15,YES
25/1/2023,2:30,YES
23/1/2023,8:25,YES
18/1/2023,2:30,YES
14/1/2023,0:30,YES
13/1/2023,15:45,YES
1/1/2023,2:00,YES
31/12/2022,14:15,YES
29/12/2022,0:00,YES
28/12/2022,8:00,YES
25/12/2022,2:30,YES
24/12/2022,20:20,YES
15/12/2022,12:20,YES
12/12/2022,8:00,YES
10/12/2022,7:40,YES
2/12/2022,0:00,YES
1/12/2022,2:00,YES
30/11/2022,18:45,YES
27/11/2022,15:15,YES
25/11/2022,2:30,YES
21/11/2022,0:00,YES
20/11/2022,19:35,YES
1/11/2022,0:00,YES
31/10/2022,0:00,YES
30/10/2022,8:00,YES
22/10/2022,0:50,YES
21/10/2022,10:45,YES
17/10/2022,14:45,YES
16/10/2022,14:25,YES
14/10/2022,9:40,YES
13/10/2022,11:20,YES
9/10/2022,5:00,YES
28/9/2022,2:30,YES
27/9/2022,16:00,YES
9/9/2022,2:30,YES
8/9/2022,15:50,YES
2/9/2022,8:30,YES
28/8/2022,2:30,YES
27/8/2022,19:30,YES
11/7/2022,13:10,YES
8/7/2022,8:00,YES
22/6/2022,3:00,YES
21/6/2022,22:45,YES
18/6/2022,0:00,YES
10/6/2022,8:00,YES
31/5/2022,2:40,YES
30/5/2022,23:35,YES
25/5/2022,13:05,YES
18/5/2022,2:30,YES
17/5/2022,2:40,YES
16/5/2022,14:35,YES
2/5/2022,8:00,YES
23/4/2022,9:00,YES
30/3/2022,3:05,YES
18/3/2022,2:10,YES
11/3/2022,9:00,YES
10/3/2022,13:25,YES
3/3/2022,13:25,YES
1/3/2022,8:00,YES
28/2/2022,23:38,YES
20/2/2022,15:30,YES
17/2/2022,3:05,YES
16/2/2022,23:27,YES
12/2/2022,0:05,YES
11/2/2022,9:30,YES
3/2/2022,15:30,YES
31/1/2022,9:00,YES
27/1/2022,0:00,YES
26/1/2022,8:00,YES
25/1/2022,23:15,YES
18/1/2022,1:00,YES
17/1/2022,3:05,YES
16/1/2022,0:18,YES
12/1/2022,3:00,YES
11/1/2022,23:20,YES
5/1/2022,1:00,YES
4/1/2022,18:40,YES
