,Date,Time,Temperature,Weather,Wind Speed,Wind Direction,Humidity,Barometer,Visibility
20,2022-01-01,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
27,2022-01-01,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
26,2022-01-01,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
25,2022-01-01,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
24,2022-01-01,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
23,2022-01-01,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
22,2022-01-01,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
21,2022-01-01,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
19,2022-01-01,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
18,2022-01-01,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
17,2022-01-01,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
16,2022-01-01,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
14,2022-01-01,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
13,2022-01-01,11:00,24 °C,Light rain. Overcast.,6 km/h,Wind blowing from 240° West-southwest to East-northeast,65%,1004 mbar,9 km
15,2022-01-01,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
11,2022-01-01,9:00,25 °C,Light rain. Overcast.,13 km/h,Wind blowing from 280° West to East,54%,1005 mbar,9 km
0,2022-01-01,"0:00sab, 1 de ene",28 °C,Clear.,24 km/h,Wind blowing from 100° East to West,55%,1004 mbar,16 km
1,2022-01-01,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
2,2022-01-01,2:00,27 °C,Clear.,13 km/h,Wind blowing from 70° East-northeast to West-southwest,66%,1003 mbar,16 km
3,2022-01-01,3:00,27 °C,Passing clouds.,13 km/h,Wind blowing from 40° Northeast to Southwest,70%,1002 mbar,
12,2022-01-01,10:00,23 °C,Light rain. Overcast.,9 km/h,Wind blowing from 290° West-northwest to East-southeast,78%,1006 mbar,9 km
5,2022-01-01,5:00,27 °C,Passing clouds.,15 km/h,Wind blowing from 30° North-northeast to South-southwest,70%,1002 mbar,
4,2022-01-01,4:00,27 °C,Passing clouds.,17 km/h,Wind blowing from 20° North-northeast to South-southwest,70%,1001 mbar,
7,2022-01-01,5:41,26 °C,Thunderstorms. Passing clouds.,22 km/h,Wind blowing from 300° West-northwest to East-southeast,79%,1004 mbar,6 km
8,2022-01-01,6:20,26 °C,Partly sunny.,26 km/h,Wind blowing from 330° North-northwest to South-southeast,58%,1003 mbar,
9,2022-01-01,7:00,25 °C,Scattered clouds.,20 km/h,Wind blowing from 300° West-northwest to East-southeast,65%,1005 mbar,8 km
10,2022-01-01,8:00,24 °C,Light rain. Overcast.,17 km/h,Wind blowing from 300° West-northwest to East-southeast,61%,1004 mbar,9 km
6,2022-01-01,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
44,2022-01-02,13:00,22 °C,Light rain. Overcast.,30 km/h,Wind blowing from 300° West-northwest to East-southeast,78%,1007 mbar,9 km
48,2022-01-02,16:00,23 °C,Broken clouds.,15 km/h,Wind blowing from 20° North-northeast to South-southwest,83%,1004 mbar,
45,2022-01-02,13:08,21 °C,Thunderstorms. Overcast.,32 km/h,Wind blowing from 300° West-northwest to East-southeast,83%,1007 mbar,8 km
46,2022-01-02,14:00,21 °C,Light rain. Overcast.,24 km/h,Wind blowing from 340° North-northwest to South-southeast,88%,1004 mbar,9 km
47,2022-01-02,15:00,22 °C,Broken clouds.,17 km/h,Wind blowing from 10° North to South,83%,1004 mbar,
49,2022-01-02,17:00,23 °C,Broken clouds.,13 km/h,Wind blowing from 340° North-northwest to South-southeast,78%,1003 mbar,
34,2022-01-02,5:30,27 °C,Thunderstorms. Passing clouds.,19 km/h,Wind blowing from 10° North to South,70%,1002 mbar,9 km
51,2022-01-02,19:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 60° East-northeast to West-southwest,74%,1002 mbar,
52,2022-01-02,20:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 10° North to South,74%,1004 mbar,
53,2022-01-02,21:00,23 °C,Passing clouds.,7 km/h,Wind blowing from 0° North to South,78%,1004 mbar,
54,2022-01-02,22:00,23 °C,Clear.,7 km/h,Wind blowing from 330° North-northwest to South-southeast,78%,1004 mbar,16 km
55,2022-01-02,23:00,22 °C,Clear.,4 km/h,Wind blowing from 0° North to South,83%,1005 mbar,16 km
43,2022-01-02,12:00,23 °C,Light rain. Overcast.,19 km/h,Wind blowing from 310° Northwest to Southeast,74%,1005 mbar,9 km
50,2022-01-02,18:00,24 °C,Passing clouds.,11 km/h,Wind blowing from 330° North-northwest to South-southeast,74%,1002 mbar,
42,2022-01-02,11:31,24 °C,Light rain. Overcast.,19 km/h,Wind blowing from 340° North-northwest to South-southeast,69%,1005 mbar,9 km
29,2022-01-02,1:00,28 °C,Clear.,17 km/h,Wind blowing from 90° East to West,58%,1003 mbar,16 km
