iter	Logloss
0	0.6660997869
1	0.6437851614
2	0.6253071723
3	0.6100724263
4	0.5973863014
5	0.5867325675
6	0.5774642515
7	0.5703314094
8	0.5636376286
9	0.5582038891
10	0.5540092274
11	0.5495391884
12	0.5463488692
13	0.5434525643
14	0.5413142036
15	0.5391078244
16	0.5371757092
17	0.5356919598
18	0.5342079973
19	0.5326657071
20	0.5315064577
21	0.5304438449
22	0.529569029
23	0.528507991
24	0.5277821337
25	0.527232353
26	0.5264350443
27	0.5258079391
28	0.5249522453
29	0.5245170586
30	0.5238544516
31	0.5234031456
32	0.5228454875
33	0.5221726446
34	0.5215977659
35	0.521147073
36	0.5205121391
37	0.5199445262
38	0.5192232335
39	0.5189164629
40	0.5185042188
41	0.5180658424
42	0.5176131986
43	0.5174666391
44	0.5172301837
45	0.5170364468
46	0.5167160134
47	0.5165330999
48	0.516249676
49	0.5159034225
50	0.5155009676
51	0.5150835846
52	0.5144845362
53	0.5137848062
54	0.5130190845
55	0.51246247
56	0.5122270132
57	0.5113814426
58	0.5108402481
59	0.5103561963
60	0.5101638217
61	0.5098948938
62	0.509617281
63	0.5092585997
64	0.5088431467
65	0.5087037992
66	0.5086046211
67	0.5082306784
68	0.50796003
69	0.5077532012
70	0.5076580068
71	0.5074882936
72	0.5073408274
73	0.5071661823
74	0.5067710622
75	0.5065565691
76	0.5060969175
77	0.5058604493
78	0.5057134041
79	0.505179692
80	0.505066591
81	0.5048974649
82	0.5047199053
83	0.5045289422
84	0.5042272933
85	0.5037950277
86	0.5031154727
87	0.5028826724
88	0.5026436434
89	0.5024299997
90	0.5021883294
91	0.5018918369
92	0.5017815282
93	0.5016789873
94	0.5015416613
95	0.5012225338
96	0.5011210265
97	0.5008317996
98	0.5004405813
99	0.500233939
