iter	Passed	Remaining
0	2	220
1	3	190
2	5	182
3	7	185
4	9	179
5	11	172
6	12	169
7	14	161
8	15	156
9	17	153
10	18	151
11	20	149
12	22	149
13	24	148
14	25	146
15	27	143
16	28	141
17	30	137
18	31	133
19	32	130
20	34	129
21	35	127
22	37	125
23	39	125
24	40	122
25	42	119
26	43	118
27	45	117
28	47	115
29	48	113
30	50	111
31	52	110
32	53	108
33	55	107
34	57	106
35	58	104
36	60	102
37	61	100
38	63	99
39	65	97
40	66	96
41	68	95
42	70	94
43	72	92
44	73	90
45	75	88
46	76	86
47	78	85
48	80	83
49	82	82
50	84	81
51	86	79
52	88	78
53	89	76
54	91	74
55	93	73
56	94	71
57	96	69
58	97	68
59	99	66
60	101	64
61	102	63
62	104	61
63	105	59
64	107	57
65	108	56
66	109	54
67	111	52
68	113	50
69	115	49
70	116	47
71	118	46
72	120	44
73	122	42
74	123	41
75	125	39
76	126	37
77	128	36
78	130	34
79	131	32
80	133	31
81	134	29
82	136	27
83	137	26
84	139	24
85	141	22
86	142	21
87	144	19
88	145	18
89	147	16
90	148	14
91	150	13
92	151	11
93	153	9
94	154	8
95	156	6
96	157	4
97	158	3
98	160	1
99	162	0
